TERM,TERM_TYPE,TERM_LENGTH
LIL HYBRID,COMBINED,10
PARLIAMENT CARAT WHITE,COMBINED,22
CITY PALACE LYCHEE MANGO 1.8%,COMBINED,29
MULTISLIMS CORAL,COMBINED,16
SAMPOERNA HIJAU -,COMBINED,17
RUSH ICED OUT S10,COMBINED,17
DJI SAM SOE MILD,COMBINED,16
SANTA JING PIN TE CHUN,COMBINED,22
BELINDA (GREEN),COMBINED,15
LUCKY STRIKE 1871 OCEAN BLUE,COMBINED,28
DAVIDOFF WHITE,COMBINED,14
LAVIE PEACH PLUM,COMBINED,16
FLUM FLOAT FRUITY HAWAII,COMBINED,24
FYA (BLUE),COMBINED,10
KNOX PORTION S2,COMBINED,15
ENTER RED,COMBINED,9
ROTHMANS TWIST,COMBINED,14
CAMEL ESSENTIAL,COMBINED,15
JAVAANSE ZWARE,COMBINED,14
DOUBLE HAPPINESS (NAN YANG) LONG FENG CHAO CHUN,COMBINED,47
KENT PROJECT ZERO,COMBINED,17
L&M RED STYLE,COMBINED,13
WINSTON XSPRESSION SUMMER MIX,COMBINED,29
LUCKY STRIKE DC NOVELTY 5,COMBINED,25
SAWIT -,COMBINED,7
IQOS 3 SILICONE SLEEVE MARINE,COMBINED,29
BLENDS WARM CLASSICS,COMBINED,20
MARLBORO GREEN,COMBINED,14
EXPORT A MEDIUM ROLLS 65% MORE,COMBINED,30
PALL MALL ENRICHED BRIGHT VIRGINIA,COMBINED,34
PALL MALL CLICK ON (BLUE),COMBINED,25
KENT WHITE 1,COMBINED,12
PIELROJA AZUL CON FILTRO,COMBINED,24
DAVIDOFF ROSE,COMBINED,13
IQOS DUO FOLIO PINK,COMBINED,19
GLO PRO BLUE,COMBINED,12
LD SELECT FRESH,COMBINED,15
L&M COOL,COMBINED,8
VOGUE MENTHE,COMBINED,12
STERLING ULTRA MILD,COMBINED,19
KUBIK STANDARD PEACH ICE,COMBINED,24
PALL MALL CHARCOAL FILTER,COMBINED,25
PARLIAMENT EXTRA LIGHTS,COMBINED,23
MARYLAND LEGERE,COMBINED,15
MIGHTY (RED),COMBINED,12
ELF BAR BLUE RAZZ ICE,COMBINED,21
PREFECT -,COMBINED,9
MARSHAL AIR FORCES,COMBINED,18
MILANO DUO EFFECT,COMBINED,17
AMADIS AZZURRA,COMBINED,14
DAVIDOFF GOLD CAMERA EDITION,COMBINED,28
VEEV DEEP YELLOW 1.8%,COMBINED,21
TURNER HALFZWARE SHAG,COMBINED,21
KENT PREMIUM (BLUE),COMBINED,19
CHOICE BLUE,COMBINED,11
FORMOSA VIRGINIA,COMBINED,16
LANDUS LIGHTS,COMBINED,13
NOR MINT S2,COMBINED,11
MIETA LOVE STANDARD STRAWBERRY WATERMELON 20MG,COMBINED,46
DAVIDOFF DFX 7,COMBINED,14
HAYK NAHAPET -,COMBINED,14
RUBY -,COMBINED,6
WINSTON STICKS AMBER,COMBINED,20
PRIMA ELETSKAYA,COMBINED,15
R1 SLIM,COMBINED,7
NEWS BLUE,COMBINED,9
MARWIN GOLD,COMBINED,11
LUNDGRENS VAGSVALL S2,COMBINED,21
CHESTERFIELD BLUE,COMBINED,17
KYIV CLASSIC,COMBINED,12
IQOS ILUMA I SFTEX DOOR CALM CLAY,COMBINED,33
OME MENTHOL,COMBINED,11
BARIS -,COMBINED,7
WIND -,COMBINED,6
ADMIRAL -,COMBINED,9
AROMA KING BUGATTI MONTE CARLO FIJI MELON ICE 20MG,COMBINED,50
IGNITE BLUEBERRY,COMBINED,16
REVEN BLUE,COMBINED,10
HONGTASHAN XIN SHI LI,COMBINED,21
JAKORDIA FILTER,COMBINED,15
ZYN ULTRA,COMBINED,9
WINDSOR BLUE GREEN FILTER,COMBINED,25
NOVO BAR STANDARD PINK LEMONADE 20MG,COMBINED,36
SMOK NOVO 2X,COMBINED,12
DU MAURIER MENTHOL,COMBINED,18
EVENTYR BLA,COMBINED,11
BOSS BLUE LIGHTS,COMBINED,16
KEMBANG -,COMBINED,9
DOMINGO GOLDEN BLEND,COMBINED,20
GOLD LION (GOLD),COMBINED,16
DOVER FULL FLAVOR,COMBINED,17
WAKA SOLO BLUEBERRY DREAM,COMBINED,25
BENSON & HEDGES AMERICAN BLEND SUPER LIGHTS,COMBINED,43
SYMPHONIA BLUE,COMBINED,14
SMOKIN JOES FULL FLAVOR,COMBINED,23
ZYN COLD FROST S6,COMBINED,17
GOLDEN AMERICAN CLASSIC (LIGHT BLUE),COMBINED,36
NOVO BAR STICK LYCHEE ICE 20MG,COMBINED,30
CASTER HARMONIC 3,COMBINED,17
AROMA KING GEM LUX BANANA ICE 20MG,COMBINED,34
PARAMOUNT FRESH MINT,COMBINED,20
TASTE CHERRY,COMBINED,12
EPIQUE SUPER LIGHTS,COMBINED,19
MARWIN -,COMBINED,8
CAMEL NATURAL FLAVOR (BLUE),COMBINED,27
PALL MALL INTERNATIONAL (BLUE),COMBINED,30
FREEDOM 12MG,COMBINED,12
ANADOLU KIRMIZI,COMBINED,15
RAINBOW -,COMBINED,9
PETTEROE'S (WHITE),COMBINED,18
MOND INTERNATIONAL ULTRA LIGHTS,COMBINED,31
STRONG ARMY,COMBINED,11
HOTSPOT TROPICAL PINEAPPLE 6%,COMBINED,29
CUBA WATERMELON,COMBINED,15
PRIMA ARMEISKAYA,COMBINED,16
77 WATERMELON ICE,COMBINED,17
NEXUS LUXURY BLEND,COMBINED,18
AMERICAN STAR BLENDED,COMBINED,21
CORA YELLOW,COMBINED,11
AUSTIN VOLLE SMAAK,COMBINED,18
AROMA KING HOOKAH BANANA ICE 0MG,COMBINED,32
LIL HYBRID 3.0 CARMINE RED,COMBINED,26
SYAMSU -,COMBINED,8
FLUM PEBBLE ARCTIC ICY,COMBINED,22
HORIZON 93MM LONG RED,COMBINED,21
IQOS 3 DOOR TIDAL BLUE,COMBINED,22
GENERAL CLASSIC PORTION,COMBINED,23
TROIKA EXPORT WHITE,COMBINED,19
THE (COLOURS) GREEN LIGHTS,COMBINED,26
HD SKY BLUE,COMBINED,11
WELLAUER ORIGINAL,COMBINED,17
VGOD STIG XL ICED PURPLE BOMB 5%,COMBINED,32
MYBLU TOBACCO 1.6%,COMBINED,18
CITY PALACE BLUEBERRY ORANGE 1.8%,COMBINED,33
PALL MALL MARINE BLUE,COMBINED,21
MURATTI BLUE,COMBINED,12
FOCUS -,COMBINED,7
CAMEL ACTIVATE MENTHOL PURPLE,COMBINED,29
OFFROAD CLASSIC WHITE S2,COMBINED,24
CITY PALACE BUBBLE GUM 1.8%,COMBINED,27
TEREA BLACK GREEN,COMBINED,17
LONG LIFE (SKY BLUE),COMBINED,20
LION EXPORT (RED),COMBINED,17
R42 SUPER STRONG,COMBINED,16
JENDERAL INTERNATIONAL,COMBINED,22
WEST ICE FRESH 1,COMBINED,16
MULTIFILTER LIGHTS,COMBINED,18
KENT ELECTRIC MINT 5,COMBINED,20
TEREA LAGUNA WAVE,COMBINED,17
ELF BAR CHERRY WATERMELON,COMBINED,25
KING GEORGE SUPERKINGS,COMBINED,22
HARMONY BY CHOICE ORIGINAL B,COMBINED,28
DAVIDOFF CLASSIC URBAN,COMBINED,22
KENT (WHITE),COMBINED,12
CRISTAL SUPER LIGHTS,COMBINED,20
ZYN BLACK LICORICE S2,COMBINED,21
ROTHMANS CLICK AERO BLUE,COMBINED,24
AL FAKHER BERRY ICE 9K,COMBINED,22
FM PLAY OFF,COMBINED,11
TCHISHT SIGARETNER (BLUE),COMBINED,25
ZIG-ZAG BERRY,COMBINED,13
BONJOUR LIGHTS,COMBINED,14
CORSAIR SILVER MARK,COMBINED,19
PEEL GRAPE,COMBINED,10
GLO NANO ORANGE,COMBINED,15
LAVIE MIXED BEERIES,COMBINED,19
SLIM AGENDA LIGHTS,COMBINED,18
TEXAS 5 ICE COOL,COMBINED,16
TROIKA EXPORT,COMBINED,13
EXPRESS 18,COMBINED,10
PALL MALL LOUISIANA AVENUE,COMBINED,26
BENSON & HEDGES LUXURY MILDS,COMBINED,28
NEXT/DUBLISS 100'S (COMPACT),COMBINED,28
SHUANGXI (GUANGZHOU) JING DIAN,COMBINED,30
WINSTON STICKS FLUO,COMBINED,19
AROMA KING STANDARD 700 BLUEBERRY BUBBLEGUM 20MG,COMBINED,48
PALL MALL EX (RED),COMBINED,18
MGO -,COMBINED,5
BUBBLE STICK MENTHOL,COMBINED,20
HE TIAN XIA BLACK,COMBINED,17
GEEK BAR MELOSO BLUEBERRY ICE 20MG,COMBINED,34
HONGMEI (YU XI) (YELLOW),COMBINED,24
SURFSIDE MANGO,COMBINED,14
WEST GLIDE TEC RED,COMBINED,18
CAMEL DOUBLE MINT & FUSE,COMBINED,24
PULZE DEEP TEAL,COMBINED,15
VAPEROLL BANANA,COMBINED,15
SLIM AGENDA BLUE SMOOTH,COMBINED,23
HAMILTON BLUE,COMBINED,13
TAYLORS -,COMBINED,9
HI-CLASS -,COMBINED,10
FIZZY MAGIC 2%,COMBINED,14
GD GOLD,COMBINED,7
BALI SHAG BLUE AMERICAN,COMBINED,23
DELAPAN BANTENG SPECIAL,COMBINED,23
MOTI CLASSIC TOBACCO,COMBINED,20
DUTCH MASTERS UNFLAVORED,COMBINED,24
BREAK RED,COMBINED,9
VIVA -,COMBINED,6
BEST EXPORT (GOLD),COMBINED,18
GLO HYPER PRO BLACK,COMBINED,19
KENT MODE SELECT,COMBINED,16
AROMA KING AK 5500 KIWI PASSION FRUIT GUAVA 0MG,COMBINED,47
CAMBRIDGE ULTRA LIGHTS,COMBINED,22
MONTE CARLO EVOLUTION SILVER,COMBINED,28
STAX -,COMBINED,6
RGD BLUE S LINE,COMBINED,15
OK! -,COMBINED,5
VIIO MENTHOL,COMBINED,12
POM POM OPERAS SLOW GLOW,COMBINED,24
MAGNUM KRETEK COKLAT,COMBINED,20
L. A. ICE MANGOBOOST,COMBINED,20
EFES (RED),COMBINED,10
LEGAL SUPER SLIMS,COMBINED,17
GARAM NUSANTARA MILD,COMBINED,20
GLO HYPER+ SIBERIA,COMBINED,18
JOB NACRE,COMBINED,9
SENATOR COMPACT BLUE,COMBINED,20
EONSMOKE MENTHOL 6%,COMBINED,19
LUCKY STRIKE,BRAND_FAMILY,12
JUST,BRAND_FAMILY,4
UDN,BRAND_FAMILY,3
SUMBER SUPER,BRAND_FAMILY,12
SPECIAL STAR,BRAND_FAMILY,12
HARLEY DAVIDSON,BRAND_FAMILY,15
SALT SWITCH,BRAND_FAMILY,11
GUDANG GARAM,BRAND_FAMILY,12
SHELTON,BRAND_FAMILY,7
CAPITAL,BRAND_FAMILY,7
MESKIE,BRAND_FAMILY,6
RAINBOW,BRAND_FAMILY,7
RODEO,BRAND_FAMILY,5
MECANICOS,BRAND_FAMILY,9
GREEN STONE,BRAND_FAMILY,11
STORY,BRAND_FAMILY,5
KOMPAS,BRAND_FAMILY,6
BRO,BRAND_FAMILY,3
MSIE TABACHOK,BRAND_FAMILY,13
GOOD COMPANION,BRAND_FAMILY,14
ANCA,BRAND_FAMILY,4
VIOLET,BRAND_FAMILY,6
STEVENSON,BRAND_FAMILY,9
TEMP,BRAND_FAMILY,4
TOROS,BRAND_FAMILY,5
WOLF,BRAND_FAMILY,4
LENT,BRAND_FAMILY,4
TURTLE SHIP,BRAND_FAMILY,11
A SLIMS,BRAND_FAMILY,7
BLACK DEATH,BRAND_FAMILY,11
TOLERANCE,BRAND_FAMILY,9
TWIGGY,BRAND_FAMILY,6
UKRAINSKI,BRAND_FAMILY,9
HABANA,BRAND_FAMILY,6
GLO HYPER AIR,BRAND_FAMILY,13
HALF TIME,BRAND_FAMILY,9
FERGREEN,BRAND_FAMILY,8
R&B,BRAND_FAMILY,3
KAZATSKAYA UDAL,BRAND_FAMILY,15
KRYMSKIE,BRAND_FAMILY,8
SPOTLIGHT,BRAND_FAMILY,9
CANDRA,BRAND_FAMILY,6
HAVANITOS,BRAND_FAMILY,9
TREN,BRAND_FAMILY,4
DIAMANTE,BRAND_FAMILY,8
CLOUD,BRAND_FAMILY,5
SCAFERLATI,BRAND_FAMILY,10
SEITA 999,BRAND_FAMILY,9
TRACE,BRAND_FAMILY,5
TU-154,BRAND_FAMILY,6
SILVERADO,BRAND_FAMILY,9
BANK AROMA,BRAND_FAMILY,10
CHUN CHENG,BRAND_FAMILY,10
SWEET SMELL,BRAND_FAMILY,11
NACIONAL,BRAND_FAMILY,8
BUSINESS CLASS,BRAND_FAMILY,14
STRADBROKE,BRAND_FAMILY,10
DOMINO,BRAND_FAMILY,6
STEEPLE,BRAND_FAMILY,7
T-T,BRAND_FAMILY,3
TABACOS,BRAND_FAMILY,7
TEREA DIMENSIONS,BRAND_FAMILY,16
VARNA,BRAND_FAMILY,5
CHIEF WHIP,BRAND_FAMILY,10
ENJOY,BRAND_FAMILY,5
CECIL,BRAND_FAMILY,5
FINESSE,BRAND_FAMILY,7
KAZAKHSTAN,BRAND_FAMILY,10
KOSSUTH,BRAND_FAMILY,7
HALB 5,BRAND_FAMILY,6
RRP CONVERTED TOB SUBSTR,BRAND_FAMILY,24
MILA SCHON,BRAND_FAMILY,10
ASTORIA,BRAND_FAMILY,7
KALO,BRAND_FAMILY,4
BRIGHT,BRAND_FAMILY,6
MIDDLETON'S,BRAND_FAMILY,11
UNIVAPO,BRAND_FAMILY,7
CONSUMO INTERNO MP,BRAND_FAMILY,18
ARLONDO,BRAND_FAMILY,7
XTRIM,BRAND_FAMILY,5
FLAKE,BRAND_FAMILY,5
MEGA,BRAND_FAMILY,4
GOLD CUP,BRAND_FAMILY,8
PETROGRADSKIE,BRAND_FAMILY,13
GRODNA,BRAND_FAMILY,6
MOND INTERNATIONAL,BRAND_FAMILY,18
E IQ,BRAND_FAMILY,4
EMBASSY SIGNATURE,BRAND_FAMILY,17
SFINGA,BRAND_FAMILY,6
VAN RYK,BRAND_FAMILY,7
5.50,BRAND_FAMILY,4
PORTO GRANDE,BRAND_FAMILY,12
CHIEF,BRAND_FAMILY,5
SOLO,BRAND_FAMILY,4
BRIGHTON BEACH,BRAND_FAMILY,14
SHADES,BRAND_FAMILY,6
FREDDY,BRAND_FAMILY,6
SENADOR,BRAND_FAMILY,7
TROEKUROFF,BRAND_FAMILY,10
EXZELLENZ,BRAND_FAMILY,9
FILTER ORIENTAL,BRAND_FAMILY,15
JUJUBA (FOOD ),BRAND_FAMILY,14
GOLDEN AMERICAN,BRAND_FAMILY,15
WIND,BRAND_FAMILY,4
WALL STREET,BRAND_FAMILY,11
YESMOKE,BRAND_FAMILY,7
222,BRAND_FAMILY,3
NET@LIVE,BRAND_FAMILY,8
PEEL,BRAND_FAMILY,4
LAMIAS,BRAND_FAMILY,6
M&J,BRAND_FAMILY,3
MATRIX,BRAND_FAMILY,6
VONN,BRAND_FAMILY,4
MARSHAL,BRAND_FAMILY,7
JOCKEY CLUB,BRAND_FAMILY,11
BRANIFF,BRAND_FAMILY,7
TAIL WIND,BRAND_FAMILY,9
KUPECHESKIE,BRAND_FAMILY,11
LINDE,BRAND_FAMILY,5
AROMA KING COSMIC MAX,BRAND_FAMILY,21
BAHAR,BRAND_FAMILY,5
RED HOUSE,BRAND_FAMILY,9
NESTOR,BRAND_FAMILY,6
EMU,BRAND_FAMILY,3
NOR,BRAND_FAMILY,3
VALENTINE,BRAND_FAMILY,9
PRISONERS BREAK,BRAND_FAMILY,15
ELEMENTS,BRAND_FAMILY,8
MC CONNELL,BRAND_FAMILY,10
GHOST,BRAND_FAMILY,5
SIEGEL,BRAND_FAMILY,6
FUJI,BRAND_FAMILY,4
BOSNA,BRAND_FAMILY,5
KOLKHI,BRAND_FAMILY,6
LO THE SNUS,BRAND_FAMILY,11
SHUANG XI,BRAND_FAMILY,9
PROSPERITY ISLAND,BRAND_FAMILY,17
NEPAL GOLD FLAKE,BRAND_FAMILY,16
VEK,BRAND_FAMILY,3
MAGHREB,BRAND_FAMILY,7
LUCHIALLI,BRAND_FAMILY,9
BOND STREET CLASSIC,BRAND_FAMILY,19
PIPE TOBACCO,BRAND_FAMILY,12
AMERICANO,BRAND_FAMILY,9
ROTTERDAM,BRAND_FAMILY,9
BASTILLE,BRAND_FAMILY,8
MEZAGE,BRAND_FAMILY,6
MARLBORO SELECCION ARTESANAL,BRAND_FAMILY,28
BEN HUR,BRAND_FAMILY,7
REGATTA,BRAND_FAMILY,7
ICEL MILD,BRAND_FAMILY,9
ERINMORE,BRAND_FAMILY,8
PRINSIP,BRAND_FAMILY,7
BILLION,BRAND_FAMILY,7
EAGLEBERGER'S,BRAND_FAMILY,13
PETR I,BRAND_FAMILY,6
KRONON,BRAND_FAMILY,6
GOLD SEAL,BRAND_FAMILY,9
BONCALO,BRAND_FAMILY,7
SILHOUETTE,BRAND_FAMILY,10
PANAMA,BRAND_FAMILY,6
ROMEO Y JULIETA,BRAND_FAMILY,15
VATRA,BRAND_FAMILY,5
ZIGA,BRAND_FAMILY,4
KAMA,BRAND_FAMILY,4
MAGNA,BRAND_FAMILY,5
EX PLZEN,BRAND_FAMILY,8
NOVA,BRAND_FAMILY,4
GOLDEN BEAR,BRAND_FAMILY,11
NATIONALES,BRAND_FAMILY,10
EIGENMARKE,BRAND_FAMILY,10
ABC PUTRA,BRAND_FAMILY,9
LEGEND,BRAND_FAMILY,6
COOLY,BRAND_FAMILY,5
FOCUS,BRAND_FAMILY,5
CORONADO,BRAND_FAMILY,8
XXL,BRAND_FAMILY,3
ROCKIES,BRAND_FAMILY,7
KITAWA,BRAND_FAMILY,6
OPATIJA,BRAND_FAMILY,7
EGYPTICA,BRAND_FAMILY,8
SOUVENIR,BRAND_FAMILY,8
BLOSSOM & DECAY,BRAND_FAMILY,15
ETI 999,BRAND_FAMILY,7
KAUNAS,BRAND_FAMILY,6
COMETE,BRAND_FAMILY,6
HANSANDO,BRAND_FAMILY,8
WRC,BRAND_FAMILY,3
EXCLUB,BRAND_FAMILY,6
LAKA (FOOD ),BRAND_FAMILY,12
RAMON FILIP,BRAND_FAMILY,11
VECHERNIE,BRAND_FAMILY,9
MAC CRAIG,BRAND_FAMILY,9
THREE RINGS,BRAND_FAMILY,11
TRIAL ITEMS TM - FRC,BRAND_FAMILY,20
GRAND 250,BRAND_FAMILY,9
PUEBLO,BRAND_FAMILY,6
AUSLESE,BRAND_FAMILY,7
MISTY,BRAND_FAMILY,5
ORIGINALS,BRAND_FAMILY,9
ATU,BRAND_FAMILY,3
SOBERANOS,BRAND_FAMILY,9
PIONEER,BRAND_FAMILY,7
KAPLAR,BRAND_FAMILY,6
MIX,BRAND_FAMILY,3
MONEASA,BRAND_FAMILY,7
CARDINAL,BRAND_FAMILY,8
SUPERIOR,BRAND_FAMILY,8
GEORGE MC MARTIN,BRAND_FAMILY,16
ME TOO,BRAND_FAMILY,6
BECKA,BRAND_FAMILY,5
SINARMAS,BRAND_FAMILY,8
EVO,BRAND_FAMILY,3
MEGAH,BRAND_FAMILY,5
ALKATRASS,BRAND_FAMILY,9
RONA,BRAND_FAMILY,4
IZMIR,BRAND_FAMILY,5
E-LEGANCE STANDARD,BRAND_FAMILY,18
HORSESHOE,BRAND_FAMILY,9
ELEAF,BRAND_FAMILY,5
SUPERSLIMS,BRAND_FAMILY,10
RYM,BRAND_FAMILY,3
CACTUS (BEER),BRAND_FAMILY,13
HELLO,BRAND_FAMILY,5
INTER BIRU,BRAND_FAMILY,10
FREEMAX,BRAND_FAMILY,7
NAPPA VALLEY,BRAND_FAMILY,12
KRAFT MAYOESPESA (FOOD ),BRAND_FAMILY,24
JACARANDA,BRAND_FAMILY,9
FUSION,BRAND_FAMILY,6
LOOK OUT,BRAND_FAMILY,8
ARK ROYAL,BRAND_FAMILY,9
LISHIPAI,BRAND_FAMILY,8
HUNGARIA,BRAND_FAMILY,8
CLARIDGE,BRAND_FAMILY,8
GRODZKI,BRAND_FAMILY,7
EXCELLENT,BRAND_FAMILY,9
FOX,BRAND_FAMILY,3
LADY,BRAND_FAMILY,4
INDIAN,BRAND_FAMILY,6
BUZZ,BRAND_FAMILY,4
BOGAZICI,BRAND_FAMILY,8
LEXUS,BRAND_FAMILY,5
ASHIMA,BRAND_FAMILY,6
ZED,BRAND_FAMILY,3
MYSTIQUE,BRAND_FAMILY,8
FOUR ACES,BRAND_FAMILY,9
BANGLE,BRAND_FAMILY,6
PHILIP MORRIS DUBLISS,BRAND_FAMILY,21
FLERBAR STANDARD,BRAND_FAMILY,16
REGATA,BRAND_FAMILY,6
HAPPINESS,BRAND_FAMILY,9
SARANDI,BRAND_FAMILY,7
PRIVAT,BRAND_FAMILY,6
SORENSEN,BRAND_FAMILY,8
SANTA ROSA,BRAND_FAMILY,10
BENE,BRAND_FAMILY,4
SOCIAL CLUB,BRAND_FAMILY,11
ORIENTA,BRAND_FAMILY,7
TOLTECS,BRAND_FAMILY,7
GOONG YEON,BRAND_FAMILY,10
HORMAT,BRAND_FAMILY,6
POSSE,BRAND_FAMILY,5
SIMPONI,BRAND_FAMILY,7
TOURISM,BRAND_FAMILY,7
CORDON,BRAND_FAMILY,6
DE MORIAAN,BRAND_FAMILY,10
VIRGINIA EXPORT,BRAND_FAMILY,15
NOMAD,BRAND_FAMILY,5
KORMORAN,BRAND_FAMILY,8
GUDANG CENGKEH,BRAND_FAMILY,14
ZAPOROZHCY,BRAND_FAMILY,10
JOYOBOYO,BRAND_FAMILY,8
SILO,BRAND_FAMILY,4
NARODNYE,BRAND_FAMILY,8
VIER HEEREN BAI,BRAND_FAMILY,15
BINTANG,BRAND_FAMILY,7
OFITSERSKIE,BRAND_FAMILY,11
MARK V,BRAND_FAMILY,6
OPOLSKIE,BRAND_FAMILY,8
KENT,BRAND_FAMILY,4
VEEV,BRAND_FAMILY,4
LUNDGRENS,BRAND_FAMILY,9
NEW FREEDOM,BRAND_FAMILY,11
MACROPOLO,BRAND_FAMILY,9
FEMINA,BRAND_FAMILY,6
SALSA,BRAND_FAMILY,5
AZZURRI,BRAND_FAMILY,7
SWAVE,BRAND_FAMILY,5
SMOTRYCH,BRAND_FAMILY,8
PICADURA,BRAND_FAMILY,8
DON PEDRO,BRAND_FAMILY,9
NUO,BRAND_FAMILY,3
PUSAKA,BRAND_FAMILY,6
CANTON BAY,BRAND_FAMILY,10
TURMAC,BRAND_FAMILY,6
UPPER TEN,BRAND_FAMILY,9
TYTAN,BRAND_FAMILY,5
RM SUPER REMAJA,BRAND_FAMILY,15
HYPNOSE,BRAND_FAMILY,7
BLU,BRAND_FAMILY,3
GEEK BAR MELOSO,BRAND_FAMILY,15
FEUIL D'OR,BRAND_FAMILY,10
AZERI,BRAND_FAMILY,5
HOMA 20,BRAND_FAMILY,7
VAN ERKOMS,BRAND_FAMILY,10
MASIS,BRAND_FAMILY,5
LADANG,BRAND_FAMILY,6
MOUNT CLASS,BRAND_FAMILY,11
GEDONG,BRAND_FAMILY,6
GOLDEN BELT,BRAND_FAMILY,11
SAPPORO,BRAND_FAMILY,7
BINTANG 3,BRAND_FAMILY,9
RED LABEL,BRAND_FAMILY,9
TU-134,BRAND_FAMILY,6
HERKULES,BRAND_FAMILY,8
LENNON,BRAND_FAMILY,6
DABBLER,BRAND_FAMILY,7
ARIN-BERD,BRAND_FAMILY,9
GUDANG GANDENG,BRAND_FAMILY,14
MTSVERVALI,BRAND_FAMILY,10
UNCLE LOUIES,BRAND_FAMILY,12
BANDAR,BRAND_FAMILY,6
EDELPRISE,BRAND_FAMILY,9
SMIRNOFF ICE (BEER),BRAND_FAMILY,19
VICE,BRAND_FAMILY,4
LANCIA,BRAND_FAMILY,6
RODOPI,BRAND_FAMILY,6
YORK,BRAND_FAMILY,4
MOHAWK,BRAND_FAMILY,6
ROXY,BRAND_FAMILY,4
ALTYNCHECH,BRAND_FAMILY,10
LE CHASSEUR,BRAND_FAMILY,11
ROYAL FIVE,BRAND_FAMILY,10
LENCANA MA,BRAND_FAMILY,10
ROSWELL,BRAND_FAMILY,7
JAKOBS,BRAND_FAMILY,6
SZLACHETNY,BRAND_FAMILY,10
SPECIAL MILD,BRAND_FAMILY,12
RUSSKIE PAPIROSKI,BRAND_FAMILY,17
WIN WIN,BRAND_FAMILY,7
OTHER BALKANS,BRAND_FAMILY,13
FIGURE,BRAND_FAMILY,6
HELM ELIQUID,BRAND_FAMILY,12
RED EAGLE,BRAND_FAMILY,9
ETHNOS,BRAND_FAMILY,6
VAPES BAR,BRAND_FAMILY,9
NAKHLA,BRAND_FAMILY,6
NOVA ZEMBLA,BRAND_FAMILY,11
REVOLUTION HIJAU,BRAND_FAMILY,16
NEGRITAS,BRAND_FAMILY,8
KUMARA,BRAND_FAMILY,6
GOLD LABEL,BRAND_FAMILY,10
CALEDONIAN,BRAND_FAMILY,10
W&S,BRAND_FAMILY,3
DUA EMPAT,BRAND_FAMILY,9
TVORNICA 999,BRAND_FAMILY,12
TANAUSU,BRAND_FAMILY,7
NTSU,BRAND_FAMILY,4
CLUB AROMAREICH,BRAND_DIFFERENTIATOR,15
AUTHENTIC,BRAND_DIFFERENTIATOR,9
907,BRAND_DIFFERENTIATOR,3
ORIGINAL FILTERS,BRAND_DIFFERENTIATOR,16
TRUE COLOURS PURPLE,BRAND_DIFFERENTIATOR,19
MINT WHITE S3,BRAND_DIFFERENTIATOR,13
(ROJO),BRAND_DIFFERENTIATOR,6
GRAPE ICE 3%,BRAND_DIFFERENTIATOR,12
WHITE (3.5),BRAND_DIFFERENTIATOR,11
ONE GOLD 1.8%,BRAND_DIFFERENTIATOR,13
COOL MINT S5,BRAND_DIFFERENTIATOR,12
ORIGINAL MIX,BRAND_DIFFERENTIATOR,12
ORIGINAL SILVER,BRAND_DIFFERENTIATOR,15
RED PLUS,BRAND_DIFFERENTIATOR,8
NO.6,BRAND_DIFFERENTIATOR,4
RIVIERA PEARL,BRAND_DIFFERENTIATOR,13
ICY MINT S4,BRAND_DIFFERENTIATOR,11
FURIOUS RED,BRAND_DIFFERENTIATOR,11
LONDON WHITES,BRAND_DIFFERENTIATOR,13
FINESSE,BRAND_DIFFERENTIATOR,7
ALLROUND SMOOTH TASTE,BRAND_DIFFERENTIATOR,21
ZERO CITRUS,BRAND_DIFFERENTIATOR,11
RED MIX 1.6%,BRAND_DIFFERENTIATOR,12
FILTER PLUS 1(3.0),BRAND_DIFFERENTIATOR,18
PERFECTO,BRAND_DIFFERENTIATOR,8
CHLOROPHYLLE,BRAND_DIFFERENTIATOR,12
JETS BLUE,BRAND_DIFFERENTIATOR,9
FREEZING PEPPERMINT 10.9MG,BRAND_DIFFERENTIATOR,26
FRESH MANGO 2%,BRAND_DIFFERENTIATOR,14
ACTIVA FRESHNESS (BLUE),BRAND_DIFFERENTIATOR,23
PLATA,BRAND_DIFFERENTIATOR,5
BRONZE AND SIENNA SELECTION,BRAND_DIFFERENTIATOR,27
ROYAL CRUSH,BRAND_DIFFERENTIATOR,11
GRENDEL,BRAND_DIFFERENTIATOR,7
BLIZZARD MINT LSS,BRAND_DIFFERENTIATOR,17
HYPER X2 AIR OCEAN BLUE,BRAND_DIFFERENTIATOR,23
S-LINE FLOW IVOIRE,BRAND_DIFFERENTIATOR,18
CLICK AROMA 1,BRAND_DIFFERENTIATOR,13
INTERNATIONAL GOLD,BRAND_DIFFERENTIATOR,18
DOOR AZURE BLUE,BRAND_DIFFERENTIATOR,15
BOTANICAL BURST,BRAND_DIFFERENTIATOR,15
LONGS BLUE,BRAND_DIFFERENTIATOR,10
STRAWBERRY KIWI ICE 5K,BRAND_DIFFERENTIATOR,22
BLACK POWER,BRAND_DIFFERENTIATOR,11
VIRGINIA LIGHTS,BRAND_DIFFERENTIATOR,15
XXL,BRAND_DIFFERENTIATOR,3
C382,BRAND_DIFFERENTIATOR,4
GOLD ULTRA,BRAND_DIFFERENTIATOR,10
